Reconstruction_Error,Anomaly
0.0025696319245287844,False
0.0025287338453432277,False
0.002486278563129055,False
0.0024677667679707626,False
0.002607174659977105,False
0.002651996059581524,False
0.0026339034329757554,False
0.002685362659895959,False
0.002814762940675639,False
0.0027587294284145037,False
0.0027730571876020903,False
0.0027372297378661643,False
0.002800545016926747,False
0.0029083488816922802,False
0.0029045973472916083,False
0.0029458111800176353,False
0.002959460375088165,False
0.0029461432330391427,False
0.0030361859624809737,False
0.003075515081922802,False
0.003223734536138369,False
0.0032558159169192515,False
0.0032337241304875204,False
0.0031960759473245717,False
0.0031904540096699954,False
0.0032487372777225943,False
0.0032841765721096016,False
0.003376219784301263,False
0.0032919990012132204,False
0.0032600800387752094,False
0.0032685249097719545,False
0.0031952537644601643,False
0.0031887625189314043,False
0.0032823357153992593,False
0.0032074587865456717,False
0.003191607769494734,False
0.0032588683380946554,False
0.0032117506089116084,False
0.0031923468654038497,False
0.0031110314905348157,False
0.003144615180800502,False
0.0031614833922877735,False
0.0030953950548976987,False
0.00300998368067112,False
0.0030921348216416326,False
0.0030328891185454677,False
0.0029530338296308903,False
0.0029278706468326195,False
0.002850013505226356,False
0.0028149441778668465,False
0.0027266708100810414,False
0.002796308923744319,False
0.0028144610342228263,False
0.002860828195428838,False
0.002905293647510295,False
0.002867629482974638,False
0.0027966168324227263,False
0.0027362136041815493,False
0.002689903110693839,False
0.002717317711323413,False
0.002686325387659942,False
0.0027305669518926322,False
0.002780933971368807,False
0.0027164508251599066,False
0.002701995190900418,False
0.0027139092133918975,False
0.002701046916284138,False
0.0026878258933033584,False
0.0026866767158817556,False
0.002714502992345474,False
0.0026981227785578756,False
0.0027225037989541995,False
0.0027325806143361797,False
0.002726909959158276,False
0.002644243352883614,False
0.0026527196925469213,False
0.0026997587377418615,False
0.0027242413557148214,False
0.0027150339245368984,False
0.0027177843155935105,False
0.002833235114341746,False
0.0027982781598385187,False
0.0027583779005175956,False
0.002767699948245615,False
0.0027501396018936074,False
0.0027285822046595495,False
0.00273808952793861,False
0.0027212995811196432,False
0.0028082443622696896,False
0.0028178341382137403,False
0.002775840400161892,False
0.0027715281869612617,False
0.0027391273554173614,False
0.002795590098826504,False
0.0027911513348180183,False
0.0027541868790931434,False
0.0027784987642379562,False
0.002784491551367538,False
0.0026455233330615327,False
0.002652715197838966,False
0.0026990253025707977,False
0.002706365291472835,False
0.0027199224742284708,False
0.002693976413250132,False
0.002670294956198057,False
0.0027102071751868967,False
0.002708669993881436,False
0.0026786798373522945,False
0.0027555198534260817,False
0.0027249992506923706,False
0.0026143525390789004,False
0.0026304514887848145,False
0.0026931039039931126,False
0.00266040134413434,False
0.002734928430546805,False
0.0028201207809199023,False
0.002838089105186443,False
0.0028391711931648024,False
0.0029104729228811026,False
0.002908098453216892,False
0.0029045877262156104,False
0.002852676639849504,False
0.002953950503303291,False
0.0029736670738315925,False
0.0029608547838118407,False
0.0029446465688353573,False
0.003008806567908727,False
0.0030292000231093167,False
0.003019605605863045,False
0.0030099384125262633,False
0.003036866855209555,False
0.003106040792053958,False
0.0031133263480991142,False
0.0031229438998176136,False
0.003145331542830061,False
0.0030692047425812663,False
0.003118128694212164,False
0.0031583707354912362,False
0.003128938713946975,False
0.003122559566363963,False
0.0031792503058309346,False
0.0031908924705479377,False
0.003201730680014823,False
0.003180701122101639,False
0.0030449194578050756,False
0.0029710115295862585,False
0.0029367639498554536,False
0.0029271386840453687,False
0.002831311166165613,False
0.0028126438349142984,False
0.002917724890773256,False
0.002933151145477309,False
0.002887456334360981,False
0.002843812714408099,False
0.0028676689917110877,False
0.002899018612843691,False
0.002871829826195578,False
0.0028821334681512737,False
0.0028674786788527237,False
0.0028551452694248664,False
0.00282848597773247,False
0.002773986521657694,False
0.002822229817875119,False
0.0028890577833293367,False
